WWW Tide and Current Predictor				
Oakland	"Airport," San Francisco "Bay,"	California			
29 March 2018 - 4 April	2018		
								
								
Year	Month 	Day 	Hours 	Minutes 	Seconds	tidal elevation (m)		
2018	3	29	0	0	0	1.928433		
2018	3	29	0	10	0	1.918061		
2018	3	29	0	20	0	1.900422		
2018	3	29	0	30	0	1.875642		
2018	3	29	0	40	0	1.843927		
2018	3	29	0	50	0	1.805559		
2018	3	29	1	0	0	1.760975		
2018	3	29	1	10	0	1.710449		
2018	3	29	1	20	0	1.654545		
2018	3	29	1	30	0	1.593817		
2018	3	29	1	40	0	1.528874		
2018	3	29	1	50	0	1.460369		
2018	3	29	2	0	0	1.388995		
2018	3	29	2	10	0	1.315597		
2018	3	29	2	20	0	1.240666		
2018	3	29	2	30	0	1.165073		
2018	3	29	2	40	0	1.089566		
2018	3	29	2	50	0	1.014885		
2018	3	29	3	0	0	0.941747		
2018	3	29	3	10	0	0.870844		
2018	3	29	3	20	0	0.802943		
2018	3	29	3	30	0	0.738422		
2018	3	29	3	40	0	0.677961		
2018	3	29	3	50	0	0.622063		
2018	3	29	4	0	0	0.571174		
2018	3	29	4	10	0	0.525677		
2018	3	29	4	20	0	0.485887		
2018	3	29	4	30	0	0.452109		
2018	3	29	4	40	0	0.424413		
2018	3	29	4	50	0	0.402983		
2018	3	29	5	0	0	0.387879		
2018	3	29	5	10	0	0.379102		
2018	3	29	5	20	0	0.376599		
2018	3	29	5	30	0	0.380453		
2018	3	29	5	40	0	0.390648		
2018	3	29	5	50	0	0.407004		
2018	3	29	6	0	0	0.429221		
2018	3	29	6	10	0	0.457039		
2018	3	29	6	20	0	0.490151		
2018	3	29	6	30	0	0.528227		
2018	3	29	6	40	0	0.57092		
2018	3	29	6	50	0	0.617953		
2018	3	29	7	0	0	0.668805		
2018	3	29	7	10	0	0.723176		
2018	3	29	7	20	0	0.78069		
2018	3	29	7	30	0	0.84097		
2018	3	29	7	40	0	0.903635		
2018	3	29	7	50	0	0.968414		
2018	3	29	8	0	0	1.034711		
2018	3	29	8	10	0	1.102244		
2018	3	29	8	20	0	1.170624		
2018	3	29	8	30	0	1.239456		
2018	3	29	8	40	0	1.308335		
2018	3	29	8	50	0	1.376963		
2018	3	29	9	0	0	1.44469		
2018	3	29	9	10	0	1.511195		
2018	3	29	9	20	0	1.576034		
2018	3	29	9	30	0	1.638749		
2018	3	29	9	40	0	1.698873		
2018	3	29	9	50	0	1.756022		
2018	3	29	10	0	0	1.809526		
2018	3	29	10	10	0	1.858999		
2018	3	29	10	20	0	1.90396		
2018	3	29	10	30	0	1.943935		
2018	3	29	10	40	0	1.978464		
2018	3	29	10	50	0	2.007106		
2018	3	29	11	0	0	2.029479		
2018	3	29	11	10	0	2.045131		
2018	3	29	11	20	0	2.053763		
2018	3	29	11	30	0	2.055126		
2018	3	29	11	40	0	2.049531		
2018	3	29	11	50	0	2.037		
2018	3	29	12	0	0	2.01744		
2018	3	29	12	10	0	1.990819		
2018	3	29	12	20	0	1.957172		
2018	3	29	12	30	0	1.916603		
2018	3	29	12	40	0	1.869286		
2018	3	29	12	50	0	1.815465		
2018	3	29	13	0	0	1.755454		
2018	3	29	13	10	0	1.689636		
2018	3	29	13	20	0	1.618457		
2018	3	29	13	30	0	1.542425		
2018	3	29	13	40	0	1.462106		
2018	3	29	13	50	0	1.378112		
2018	3	29	14	0	0	1.2911		
2018	3	29	14	10	0	1.201759		
2018	3	29	14	20	0	1.110805		
2018	3	29	14	30	0	1.018973		
2018	3	29	14	40	0	0.927003		
2018	3	29	14	50	0	0.835635		
2018	3	29	15	0	0	0.745597		
2018	3	29	15	10	0	0.657597		
2018	3	29	15	20	0	0.572318		
2018	3	29	15	30	0	0.490401		
2018	3	29	15	40	0	0.412449		
2018	3	29	15	50	0	0.33901		
2018	3	29	16	0	0	0.270582		
2018	3	29	16	10	0	0.2076		
2018	3	29	16	20	0	0.150438		
2018	3	29	16	30	0	0.099405		
2018	3	29	16	40	0	0.054746		
2018	3	29	16	50	0	0.01658		
2018	3	29	17	0	0	-0.014847		
2018	3	29	17	10	0	-0.03955		
2018	3	29	17	20	0	-0.057531		
2018	3	29	17	30	0	-0.068845		
2018	3	29	17	40	0	-0.073598		
2018	3	29	17	50	0	-0.071844		
2018	3	29	18	0	0	-0.063557		
2018	3	29	18	10	0	-0.048929		
2018	3	29	18	20	0	-0.028273		
2018	3	29	18	30	0	-0.001806		
2018	3	29	18	40	0	0.030082		
2018	3	29	18	50	0	0.067119		
2018	3	29	19	0	0	0.109061		
2018	3	29	19	10	0	0.155448		
2018	3	29	19	20	0	0.206115		
2018	3	29	19	30	0	0.260579		
2018	3	29	19	40	0	0.318611		
2018	3	29	19	50	0	0.380009		
2018	3	29	20	0	0	0.444272		
2018	3	29	20	10	0	0.511313		
2018	3	29	20	20	0	0.580618		
2018	3	29	20	30	0	0.651999		
2018	3	29	20	40	0	0.725278		
2018	3	29	20	50	0	0.799907		
2018	3	29	21	0	0	0.875815		
2018	3	29	21	10	0	0.952422		
2018	3	29	21	20	0	1.029631		
2018	3	29	21	30	0	1.106823		
2018	3	29	21	40	0	1.183738		
2018	3	29	21	50	0	1.260093		
2018	3	29	22	0	0	1.335205		
2018	3	29	22	10	0	1.408869		
2018	3	29	22	20	0	1.480369		
2018	3	29	22	30	0	1.54934		
2018	3	29	22	40	0	1.615385		
2018	3	29	22	50	0	1.677775		
2018	3	29	23	0	0	1.736201		
2018	3	29	23	10	0	1.789959		
2018	3	29	23	20	0	1.83865		
2018	3	29	23	30	0	1.88186		
2018	3	29	23	40	0	1.918994		
2018	3	29	23	50	0	1.949755		
2018	3	30	0	0	0	1.973666		
2018	3	30	0	10	0	1.990463		
2018	3	30	0	20	0	1.999892		
2018	3	30	0	30	0	2.00173		
2018	3	30	0	40	0	1.995958		
2018	3	30	0	50	0	1.982593		
2018	3	30	1	0	0	1.96166		
2018	3	30	1	10	0	1.933271		
2018	3	30	1	20	0	1.897613		
2018	3	30	1	30	0	1.854955		
2018	3	30	1	40	0	1.805643		
2018	3	30	1	50	0	1.749998		
2018	3	30	2	0	0	1.688701		
2018	3	30	2	10	0	1.62222		
2018	3	30	2	20	0	1.551172		
2018	3	30	2	30	0	1.476223		
2018	3	30	2	40	0	1.398086		
2018	3	30	2	50	0	1.317504		
2018	3	30	3	0	0	1.235245		
2018	3	30	3	10	0	1.151952		
2018	3	30	3	20	0	1.068692		
2018	3	30	3	30	0	0.986107		
2018	3	30	3	40	0	0.904959		
2018	3	30	3	50	0	0.825987		
2018	3	30	4	0	0	0.749893		
2018	3	30	4	10	0	0.677339		
2018	3	30	4	20	0	0.608822		
2018	3	30	4	30	0	0.545129		
2018	3	30	4	40	0	0.486634		
2018	3	30	4	50	0	0.433764		
2018	3	30	5	0	0	0.386878		
2018	3	30	5	10	0	0.346268		
2018	3	30	5	20	0	0.312153		
2018	3	30	5	30	0	0.284646		
2018	3	30	5	40	0	0.263924		
2018	3	30	5	50	0	0.249958		
2018	3	30	6	0	0	0.242708		
2018	3	30	6	10	0	0.242113		
2018	3	30	6	20	0	0.248302		
2018	3	30	6	30	0	0.261135		
2018	3	30	6	40	0	0.28036		
2018	3	30	6	50	0	0.305689		
2018	3	30	7	0	0	0.336802		
2018	3	30	7	10	0	0.373355		
2018	3	30	7	20	0	0.414986		
2018	3	30	7	30	0	0.461317		
2018	3	30	7	40	0	0.511964		
2018	3	30	7	50	0	0.566536		
2018	3	30	8	0	0	0.624637		
2018	3	30	8	10	0	0.685874		
2018	3	30	8	20	0	0.749854		
2018	3	30	8	30	0	0.816184		
2018	3	30	8	40	0	0.884473		
2018	3	30	8	50	0	0.95433		
2018	3	30	9	0	0	1.025362		
2018	3	30	9	10	0	1.097175		
2018	3	30	9	20	0	1.169367		
2018	3	30	9	30	0	1.241534		
2018	3	30	9	40	0	1.31326		
2018	3	30	9	50	0	1.384121		
2018	3	30	10	0	0	1.453681		
2018	3	30	10	10	0	1.521496		
2018	3	30	10	20	0	1.587107		
2018	3	30	10	30	0	1.650047		
2018	3	30	10	40	0	1.709841		
2018	3	30	10	50	0	1.76601		
2018	3	30	11	0	0	1.818072		
2018	3	30	11	10	0	1.865547		
2018	3	30	11	20	0	1.907965		
2018	3	30	11	30	0	1.944871		
2018	3	30	11	40	0	1.975829		
2018	3	30	11	50	0	2.000467		
2018	3	30	12	0	0	2.018332		
2018	3	30	12	10	0	2.029142		
2018	3	30	12	20	0	2.032617		
2018	3	30	12	30	0	2.028856		
2018	3	30	12	40	0	2.017978		
2018	3	30	12	50	0	1.999901		
2018	3	30	13	0	0	1.974659		
2018	3	30	13	10	0	1.942217		
2018	3	30	13	20	0	1.902736		
2018	3	30	13	30	0	1.856412		
2018	3	30	13	40	0	1.803607		
2018	3	30	13	50	0	1.744483		
2018	3	30	14	0	0	1.679533		
2018	3	30	14	10	0	1.609233		
2018	3	30	14	20	0	1.534251		
2018	3	30	14	30	0	1.454925		
2018	3	30	14	40	0	1.37202		
2018	3	30	14	50	0	1.286221		
2018	3	30	15	0	0	1.198394		
2018	3	30	15	10	0	1.108984		
2018	3	30	15	20	0	1.018892		
2018	3	30	15	30	0	0.928881		
2018	3	30	15	40	0	0.839859		
2018	3	30	15	50	0	0.752265		
2018	3	30	16	0	0	0.666973		
2018	3	30	16	10	0	0.584671		
2018	3	30	16	20	0	0.506137		
2018	3	30	16	30	0	0.431706		
2018	3	30	16	40	0	0.362064		
2018	3	30	16	50	0	0.297699		
2018	3	30	17	0	0	0.239134		
2018	3	30	17	10	0	0.186531		
2018	3	30	17	20	0	0.140288		
2018	3	30	17	30	0	0.100633		
2018	3	30	17	40	0	0.067724		
2018	3	30	17	50	0	0.041694		
2018	3	30	18	0	0	0.022487		
2018	3	30	18	10	0	0.010124		
2018	3	30	18	20	0	0.004523		
2018	3	30	18	30	0	0.005619		
2018	3	30	18	40	0	0.013493		
2018	3	30	18	50	0	0.027911		
2018	3	30	19	0	0	0.048653		
2018	3	30	19	10	0	0.075355		
2018	3	30	19	20	0	0.107786		
2018	3	30	19	30	0	0.145505		
2018	3	30	19	40	0	0.188292		
2018	3	30	19	50	0	0.235738		
2018	3	30	20	0	0	0.287399		
2018	3	30	20	10	0	0.343097		
2018	3	30	20	20	0	0.402299		
2018	3	30	20	30	0	0.464859		
2018	3	30	20	40	0	0.530234		
2018	3	30	20	50	0	0.598308		
